condition,encoder,suite,gap,r2
av_only,siglip,goal,1,0.5891
av_only,siglip,goal,13,0.7215
av_only,siglip,goal,20,0.7124
av_only,siglip,goal,40,0.6800
av_only,siglip,object,1,0.6699
av_only,siglip,object,13,0.7650
av_only,siglip,object,20,0.7310
av_only,siglip,object,40,0.6263
av_only,siglip,spatial,1,0.5834
av_only,siglip,spatial,13,0.6792
av_only,siglip,spatial,20,0.6458
av_only,siglip,spatial,40,0.4511
av_only,v15,goal,1,0.4085
av_only,v15,goal,13,0.5851
av_only,v15,goal,20,0.6071
av_only,v15,goal,40,0.5757
av_only,v15,object,1,0.4726
av_only,v15,object,13,0.6933
av_only,v15,object,20,0.6895
av_only,v15,object,40,0.5989
av_only,v15,spatial,1,0.3873
av_only,v15,spatial,13,0.5575
av_only,v15,spatial,20,0.5806
av_only,v15,spatial,40,0.3608
av_only,vc1,goal,1,0.4266
av_only,vc1,goal,13,0.6073
av_only,vc1,goal,20,0.6235
av_only,vc1,goal,40,0.5757
av_only,vc1,object,1,0.4615
av_only,vc1,object,13,0.6978
av_only,vc1,object,20,0.6804
av_only,vc1,object,40,0.5965
av_only,vc1,spatial,1,0.4787
av_only,vc1,spatial,13,0.5847
av_only,vc1,spatial,20,0.5523
av_only,vc1,spatial,40,0.3461
both,siglip,goal,1,0.7795
both,siglip,goal,13,0.7993
both,siglip,goal,20,0.8006
both,siglip,goal,40,0.7821
both,siglip,object,1,0.7833
both,siglip,object,13,0.8162
both,siglip,object,20,0.7818
both,siglip,object,40,0.6603
both,siglip,spatial,1,0.8043
both,siglip,spatial,13,0.7942
both,siglip,spatial,20,0.7673
both,siglip,spatial,40,0.6514
both,v15,goal,1,0.7391
both,v15,goal,13,0.8137
both,v15,goal,20,0.8037
both,v15,goal,40,0.7725
both,v15,object,1,0.7540
both,v15,object,13,0.7896
both,v15,object,20,0.7562
both,v15,object,40,0.6833
both,v15,spatial,1,0.7789
both,v15,spatial,13,0.7787
both,v15,spatial,20,0.7546
both,v15,spatial,40,0.6250
both,vc1,goal,1,0.7583
both,vc1,goal,13,0.8038
both,vc1,goal,20,0.8055
both,vc1,goal,40,0.7879
both,vc1,object,1,0.7659
both,vc1,object,13,0.8138
both,vc1,object,20,0.7825
both,vc1,object,40,0.6950
both,vc1,spatial,1,0.8090
both,vc1,spatial,13,0.8095
both,vc1,spatial,20,0.7761
both,vc1,spatial,40,0.6714
